Site Name,URL
TCN,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.57/10.0.34.57_gigabitethernet0_0_0.html
NCC,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.89/10.0.34.89_gigabitethernet0_0_0.html
NEPC,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.129/10.0.34.129_gigabitethernet0_0_0.html
EFCC,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.25/10.0.34.25_gigabitethernet0_0_0.html
PCC,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.169/10.0.34.169_gigabitethernet0_0_0.html
BoundaryComm,https://mrtg.galaxybackbone.com.ng:8081/10.0.34.209/10.0.34.209_gigabitethernet0_0_0.html
Abuja Clnics Maitama,https://mrtg.galaxybackbone.com.ng:8081/10.0.35.1/10.0.35.1_gigabitethernet0_0_0.html
FERMA,https://mrtg.galaxybackbone.com.ng:8081/10.0.35.185/10.0.35.185_gigabitethernet0_0_0.html
FM Lands New,https://mrtg.galaxybackbone.com.ng:8081/10.0.36.57/10.0.36.57_gigabitethernet0_0_2.html
FM Lands Old,https://mrtg.galaxybackbone.com.ng:8081/10.0.36.49/10.0.36.49_gigabitethernet0_0_0.html
PEF HQ,https://mrtg.galaxybackbone.com.ng:8081/10.0.38.161/10.0.38.161_gigabitethernet0_0_0.html
FM Environment,https://mrtg.galaxybackbone.com.ng:8081/10.0.36.41/10.0.36.41_gigabitethernet0_0_0.html
NAFDAC,https://mrtg.galaxybackbone.com.ng:8081/10.0.35.121/10.0.35.121_gigabitethernet0_0_0.html
ARCN,https://mrtg.galaxybackbone.com.ng:8081/10.0.36.65/10.0.36.65_gigabitethernet0_0_0.html
SON,https://mrtg.galaxybackbone.com.ng:8081/10.0.35.97/10.0.35.97_gigabitethernet0_0_0.html
PPPRA,https://mrtg.galaxybackbone.com.ng:8081/10.0.36.209/10.0.36.209_gigabitethernet0_0_0.html
MPR,https://mrtg.galaxybackbone.com.ng:8081/10.0.37.241/10.0.37.241_gigabitethernet0_0_0.html
Audit House,https://mrtg.galaxybackbone.com.ng:8081/10.0.37.185/10.0.37.185_gigabitethernet0_0_0.html
ECN,https://mrtg.galaxybackbone.com.ng:8081/10.0.36.201/10.0.36.201_gigabitethernet0_0_0.html
RMAFC,https://mrtg.galaxybackbone.com.ng:8081/10.0.37.105/10.0.37.105_gigabitethernet0_0_0.html
NEXIM,https://mrtg.galaxybackbone.com.ng:8081/10.0.36.193/10.0.36.193_gigabitethernet0_0_0.html
Court of Appeal,https://mrtg.galaxybackbone.com.ng:8081/10.0.38.73/10.0.38.73_gigabitethernet0_0_0.html
Interra,https://mrtg.galaxybackbone.com.ng:8081/10.0.45.41/10.0.45.41_gigabitethernet0_0_0.html
FMJ,https://mrtg.galaxybackbone.com.ng:8081/10.0.36.137/10.0.36.137_gigabitethernet0_0_0.html
NPF,https://mrtg.galaxybackbone.com.ng:8081/10.0.38.81/10.0.38.81_gigabitethernet0_0_0.html
NSITF,https://mrtg.galaxybackbone.com.ng:8081/10.0.37.113/10.0.37.113_gigabitethernet0_0_0.html
Huawei Office,https://mrtg.galaxybackbone.com.ng:8081/10.0.37.121/10.0.37.121_gigabitethernet0_0_0.html
DIA,https://mrtg.galaxybackbone.com.ng:8081/10.0.36.129/10.0.36.129_gigabitethernet0_0_0.html
Budget Office,https://mrtg.galaxybackbone.com.ng:8081/10.0.38.137/10.0.38.137_gigabitethernet0_0_0.html
National Library,https://mrtg.galaxybackbone.com.ng:8081/10.0.37.196/10.0.37.196_gigabitethernet0_0_0.html
NJC HQ,https://mrtg.galaxybackbone.com.ng:8081/10.0.37.9/10.0.37.9_gigabitethernet0_0_0.html
NSIO,https://mrtg.galaxybackbone.com.ng:8081/10.0.44.201/10.0.44.201_gigabitethernet0_0_0.html
Surveyor General,https://mrtg.galaxybackbone.com.ng:8081/10.0.42.121/10.0.42.121_gigabitethernet0_0_0.html
Fed Min of Agric,https://mrtg.galaxybackbone.com.ng:8081/10.0.43.65/10.0.43.65_gigabitethernet0_0_0.html
NCPC,https://mrtg.galaxybackbone.com.ng:8081/10.0.42.129/10.0.42.129_gigabitethernet0_0_0.html
SMEDAN,https://mrtg.galaxybackbone.com.ng:8081/10.0.43.41/10.0.43.41_gigabitethernet0_0_0.html
NTA,https://mrtg.galaxybackbone.com.ng:8081/10.0.42.137/10.0.43.137_gigabitethernet0_0_0.html
